species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Bovine nidovirus 1	E	TCH5	KM589359	NC_027199	Complete genome			NULL	bovine nidovirus	BoNV	NULL	1	202201893	vertebrates	ssRNA(+)	1598
Chinook salmon nidovirus 1	E	NIDO	KJ681496	NC_026812	Complete genome			NULL	Chinook salmon bafinivirus	CSV	NULL	1	202201894	vertebrates	ssRNA(+)	1599
Alphamesonivirus 1	E	02VN178	DQ458789	NC_015874	Complete genome			NULL	Nam Dinh virus	NDV	NULL	1	202201898	invertebrates	ssRNA(+)	1600
Alphamesonivirus 2	E	JKT10701	KC807171	NC_038296	Complete genome			NULL	Karang Sari virus	KSaV	NULL	1	202201899	invertebrates	ssRNA(+)	1601
Alphamesonivirus 3	E	HL30	AB753015	NC_038297	Complete genome			NULL	Dak Nong virus	DKNV	NULL	1	202201900	invertebrates	ssRNA(+)	1602
Alphamesonivirus 4	E	71	KJ125489	NC_023986	Complete genome			NULL	Casuarina virus	CASV	NULL	1	202201901	invertebrates	ssRNA(+)	1603
Alphamesonivirus 5	E	A4/CI/2004	JQ957872	NC_020899	Complete genome			NULL	Hana virus	HanaV	NULL	1	202201902	invertebrates	ssRNA(+)	1604
Alphamesonivirus 8	E	F24/CI/2004	JQ957874	NC_020901	Complete genome			NULL	Nsé virus	NseV	NULL	1	202201904	invertebrates	ssRNA(+)	1605
Alphamesonivirus 9	E	E9/CI/2004	JQ957873	NC_020900	Complete genome			NULL	Méno virus	MenoV	NULL	1	202201905	invertebrates	ssRNA(+)	1606
Orthorubulavirus parotitidis	E	Miyahara	AB040874	NC_002200	Complete genome			NULL	mumps virus	MuV	NULL	1	202201635	vertebrates	ssRNA(-)	1377
Orthorubulavirus suis	E		BK005918	NC_009640	Complete genome			NULL	La Piedad Michoacán Mexico virus; porcine rubulavirus	LPMV; PRV	NULL	1	202201636	vertebrates	ssRNA(-)	1378
Orthorubulavirus simiae	E	Toshiba/Chanock	X64275	NC_006428	Complete genome			NULL	simian virus 41	SV-41	NULL	1	202201637	vertebrates	ssRNA(-)	1379
Pararubulavirus sosugaense	E	2012	KF774436	NC_025343	Complete genome			NULL	Sosuga virus	SoRV	NULL	1	202201638	vertebrates	ssRNA(-)	1380
Pararubulavirus teviotense	E	Cedar Grove	KP271124	NC_039198	Complete genome			NULL	Teviot virus	TeV	NULL	1	202201639	vertebrates	ssRNA(-)	1381
Pararubulavirus tiomanense	E		AF298895	NC_004074	Complete genome			NULL	Tioman virus	TioV	NULL	1	202201640	vertebrates	ssRNA(-)	1382
Pararubulavirus guangdongense	E		GU128080	NC_025410	Complete genome			NULL	Tuhoko virus 1	TuV-1	NULL	1	202201641	vertebrates	ssRNA(-)	1383
Pararubulavirus cantonense	E		GU128081	NC_025348	Complete genome			NULL	Tuhoko virus 2	TuV-2	NULL	1	202201642	vertebrates	ssRNA(-)	1384
Pararubulavirus hongkongi	E		GU128082	NC_025350	Complete genome			NULL	Tuhoko virus 3	TuV-3	NULL	1	202201643	vertebrates	ssRNA(-)	1385
Curiovirus iriri	E	BeAr408005	KM204995	NC_034544	Complete coding genome			NULL	Iriri virus	IRIRV	NULL	1	202201663	invertebrates	ssRNA(-)	1406
