species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule
Arpirivirus pedohabitans	E		BK013978	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_43		NULL	1	202111019	bacteria	ssRNA(+)
Ashcevirus caenenecus	E		BK014187	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976310_17		NULL	1	202111021	bacteria	ssRNA(+)
Bahnicevirus chthonadaptatum	E		BK013797	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_9		NULL	1	202111032	bacteria	ssRNA(+)
Bahnicevirus chthonenecus	E		BK013544	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_23		NULL	1	202111034	bacteria	ssRNA(+)
Bahnicevirus chthonocola	E		BK013868	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_19		NULL	1	202111033	bacteria	ssRNA(+)
Bahnicevirus chthonohabitans	E		BK013810	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_25		NULL	1	202111035	bacteria	ssRNA(+)
Bahnicevirus chthonovicinum	E		BK013508	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_32		NULL	1	202111036	bacteria	ssRNA(+)
Bahnicevirus chthonovivens	E		BK013525	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_7		NULL	1	202111037	bacteria	ssRNA(+)
Bahnicevirus defluviicola	E		BK013370	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage ESE015		NULL	1	202111023	bacteria	ssRNA(+)
Bahnicevirus geoadaptatum	E		BK013788	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_10		NULL	1	202111038	bacteria	ssRNA(+)
Bahnicevirus geocola	E		BK013509	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_11		NULL	1	202111039	bacteria	ssRNA(+)
Bahnicevirus geoenecus	E		BK013530	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_20		NULL	1	202111040	bacteria	ssRNA(+)
Bahnicevirus geohabitans	E		BK013922	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_26		NULL	1	202111041	bacteria	ssRNA(+)
Bahnicevirus geovicinum	E		BK013529	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_21		NULL	1	202111042	bacteria	ssRNA(+)
Bahnicevirus geovivens	E		BK013841	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_22		NULL	1	202111043	bacteria	ssRNA(+)
Bahnicevirus limenecus	E		BK013648	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466728_4		NULL	1	202111048	bacteria	ssRNA(+)
Bahnicevirus limicola	E		BK013589	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960799_35		NULL	1	202111049	bacteria	ssRNA(+)
Bahnicevirus limihabitans	E		BK013731	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976310_13		NULL	1	202111050	bacteria	ssRNA(+)
Bahnicevirus pedovicinum	E		BK013905	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_11		NULL	1	202111024	bacteria	ssRNA(+)
Bahnicevirus pedovivens	E		BK013971	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_23		NULL	1	202111025	bacteria	ssRNA(+)
Bahnicevirus soladaptatum	E		BK013805	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_25		NULL	1	202111026	bacteria	ssRNA(+)
Bahnicevirus solenecus	E		BK013496	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_9		NULL	1	202111028	bacteria	ssRNA(+)
Bahnicevirus solicola	E		BK013520	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_26		NULL	1	202111027	bacteria	ssRNA(+)
Bahnicevirus solihabitans	E		BK013815	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_9		NULL	1	202111029	bacteria	ssRNA(+)
Bahnicevirus solivicinum	E		BK013532	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_19		NULL	1	202111030	bacteria	ssRNA(+)
Bahnicevirus solivivens	E		BK014020	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_10		NULL	1	202111031	bacteria	ssRNA(+)
Bahnicevirus telluradaptatum	E		BK013984	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_23		NULL	1	202111044	bacteria	ssRNA(+)
Bahnicevirus tellurenecus	E		BK013835	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_54		NULL	1	202111046	bacteria	ssRNA(+)
Bahnicevirus telluricola	E		BK013536	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_24		NULL	1	202111045	bacteria	ssRNA(+)
Bahnicevirus tellurihabitans	E		BK013941	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_55		NULL	1	202111047	bacteria	ssRNA(+)
Bahnicevirus tellurivicinum	E		BK013431	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_37		NULL	1	202111051	bacteria	ssRNA(+)
Bahnicevirus tellurivivens	E		BK014008	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_8		NULL	1	202111052	bacteria	ssRNA(+)
Bahnicevirus terradaptatum	E		BK013517	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_25		NULL	1	202111053	bacteria	ssRNA(+)
Bahnicevirus terricola	E		BK013771	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_9		NULL	1	202111054	bacteria	ssRNA(+)
Belbovirus lutenecus	E		BK013723	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976301_9		NULL	1	202111056	bacteria	ssRNA(+)
Berdovirus luticola	E		BK014108	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466727_8		NULL	1	202111058	bacteria	ssRNA(+)
Bicehmovirus lutivivens	E		BK013647	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466728_5		NULL	1	202111061	bacteria	ssRNA(+)
Bicehmovirus peladaptatum	E		BK014131	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6253161_4		NULL	1	202111060	bacteria	ssRNA(+)
Bicehmovirus pelenecus	E		BK014210	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976327_2		NULL	1	202111062	bacteria	ssRNA(+)
Bidhavirus pelocola	E		BK013652	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5467090_9		NULL	1	202111064	bacteria	ssRNA(+)
Brikhyavirus terrivicinum	E		BK013992	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_14		NULL	1	202111066	bacteria	ssRNA(+)
Cahrlavirus caenivicinum	E		BK014102	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466725_20		NULL	1	202111068	bacteria	ssRNA(+)
Cahtavirus humihabitans	E		BK013865	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_17		NULL	1	202111070	bacteria	ssRNA(+)
Catindovirus agricola	E		BK014044	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.1_4		NULL	1	202111072	bacteria	ssRNA(+)
Cebevirus agrenecus	E		BK013776	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_27		NULL	1	202111075	bacteria	ssRNA(+)
Cebevirus halophobicum	E		HM066936	NULL	Complete genome	NULL	NULL	NULL	Caulobacter phage phiCb5		NULL	1	202111074	bacteria	ssRNA(+)
Chlurivirus chorocola	E		BK013418	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.4_11		NULL	1	202111077	bacteria	ssRNA(+)
Chorovirus peladaptatum	E		BK013576	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960507_13		NULL	1	202111079	bacteria	ssRNA(+)
Clitovirus chorohabitans	E		BK013401	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_13		NULL	1	202111081	bacteria	ssRNA(+)
Cohrdavirus arvadaptatum	E		BK013475	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_14		NULL	1	202111085	bacteria	ssRNA(+)
Cohrdavirus chorovicinum	E		BK013425	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_11		NULL	1	202111083	bacteria	ssRNA(+)
Cohrdavirus chorovivens	E		BK013542	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_3		NULL	1	202111084	bacteria	ssRNA(+)
Controvirus defluviicola	E		BK013371	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage ESE016		NULL	1	202111087	bacteria	ssRNA(+)
Cunarovirus edaphovivens	E		BK014019	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_19		NULL	1	202111089	bacteria	ssRNA(+)
Cunarovirus pedadaptatum	E		BK013474	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_35		NULL	1	202111090	bacteria	ssRNA(+)
Cunarovirus pedenecus	E		BK013774	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_41		NULL	1	202111092	bacteria	ssRNA(+)
Cunarovirus pedocola	E		BK013908	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_37		NULL	1	202111091	bacteria	ssRNA(+)
Cunarovirus pedovicinum	E		BK013886	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_31		NULL	1	202111095	bacteria	ssRNA(+)
Cunarovirus pedovivens	E		BK013938	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_11		NULL	1	202111096	bacteria	ssRNA(+)
Cunarovirus pelovicinum	E		BK013763	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976357_10		NULL	1	202111094	bacteria	ssRNA(+)
Cunavirus pedohabitans	E		BK013853	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_60		NULL	1	202111093	bacteria	ssRNA(+)
Dohnjavirus caenadaptatum	E		BK013642	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466727_7		NULL	1	202111098	bacteria	ssRNA(+)
Endehruvirus chthonenecus	E		BK013979	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_42		NULL	1	202111101	bacteria	ssRNA(+)
Endehruvirus chthonocola	E		BK013412	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_44		NULL	1	202111100	bacteria	ssRNA(+)
Eregrovirus chthonohabitans	E		BK013789	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_14		NULL	1	202111103	bacteria	ssRNA(+)
Erimutivirus chthonovicinum	E		BK013571	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_18		NULL	1	202111105	bacteria	ssRNA(+)
Fagihovirus caenihabitans	E		BK014213	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976357_11		NULL	1	202111107	bacteria	ssRNA(+)
Fagihovirus chthonovivens	E		BK013873	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_39		NULL	1	202111108	bacteria	ssRNA(+)
Fejonovirus limenecus	E		BK013756	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976326_5		NULL	1	202111110	bacteria	ssRNA(+)
Ferahgovirus geoadaptatum	E		BK013944	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_22		NULL	1	202111112	bacteria	ssRNA(+)
Fluruvirus limivicinum	E		BK014091	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466725_21		NULL	1	202111114	bacteria	ssRNA(+)
Frobavirus limivivens	E		BK014168	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR7976299_19		NULL	1	202111116	bacteria	ssRNA(+)
Fudhoevirus lutadaptatum	E		BK014135	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6254353_2		NULL	1	202111118	bacteria	ssRNA(+)
Fudhoevirus lutenecus	E		BK014071	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960803_14		NULL	1	202111119	bacteria	ssRNA(+)
Gahmegovirus lutivicinum	E		BK013704	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960802_3		NULL	1	202111121	bacteria	ssRNA(+)
Garnievirus lutivivens	E		BK014084	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466338_5		NULL	1	202111123	bacteria	ssRNA(+)
Gehrmavirus geocola	E		BK013399	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_31		NULL	1	202111125	bacteria	ssRNA(+)
Gehrmavirus pelocola	E		BK013600	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960799_37		NULL	1	202111126	bacteria	ssRNA(+)
Gernuduvirus geoenecus	E		BK013826	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_21		NULL	1	202111128	bacteria	ssRNA(+)
Gihfavirus geohabitans	E		BK013998	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_31		NULL	1	202111131	bacteria	ssRNA(+)
Gihfavirus pelohabitans	E		BK013632	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR5466369_2		NULL	1	202111130	bacteria	ssRNA(+)
Gredihovirus agradaptatum	E		BK014010	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_15		NULL	1	202111217	bacteria	ssRNA(+)
Gredihovirus agrenecus	E		BK013843	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_23		NULL	1	202111219	bacteria	ssRNA(+)
Gredihovirus agricola	E		BK013804	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_20		NULL	1	202111218	bacteria	ssRNA(+)
Gredihovirus agrihabitans	E		BK013463	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_3		NULL	1	202111220	bacteria	ssRNA(+)
Gredihovirus agrivicinum	E		BK013816	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_4		NULL	1	202111221	bacteria	ssRNA(+)
Gredihovirus agrivivens	E		BK013903	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_17		NULL	1	202111222	bacteria	ssRNA(+)
Gredihovirus arvadaptatum	E		BK014012	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_8		NULL	1	202111162	bacteria	ssRNA(+)
Gredihovirus arvenecus	E		BK013565	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.3_13		NULL	1	202111164	bacteria	ssRNA(+)
Gredihovirus arvicola	E		BK013535	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.2_9		NULL	1	202111163	bacteria	ssRNA(+)
Gredihovirus arvihabitans	E		BK014045	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.3_14		NULL	1	202111165	bacteria	ssRNA(+)
Gredihovirus arvivicinum	E		BK013435	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.3_15		NULL	1	202111166	bacteria	ssRNA(+)
Gredihovirus arvivivens	E		BK013924	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.3_3		NULL	1	202111167	bacteria	ssRNA(+)
Gredihovirus asienecus	E		BK013705	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage SRR6960802_4		NULL	1	202111208	bacteria	ssRNA(+)
Gredihovirus choradaptatum	E		BK013493	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_2		NULL	1	202111223	bacteria	ssRNA(+)
Gredihovirus chorenecus	E		BK013495	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_23		NULL	1	202111225	bacteria	ssRNA(+)
Gredihovirus chorocola	E		BK013960	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_20		NULL	1	202111224	bacteria	ssRNA(+)
Gredihovirus chorohabitans	E		BK013409	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_3		NULL	1	202111226	bacteria	ssRNA(+)
Gredihovirus chorovicinum	E		BK013417	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_5		NULL	1	202111227	bacteria	ssRNA(+)
Gredihovirus chorovivens	E		BK013832	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.4_6		NULL	1	202111228	bacteria	ssRNA(+)
Gredihovirus chthonadaptatum	E		BK013494	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_35		NULL	1	202111186	bacteria	ssRNA(+)
Gredihovirus chthonenecus	E		BK014033	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_39		NULL	1	202111188	bacteria	ssRNA(+)
Gredihovirus chthonocola	E		BK014015	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_37		NULL	1	202111187	bacteria	ssRNA(+)
Gredihovirus chthonohabitans	E		BK014022	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.2_5		NULL	1	202111189	bacteria	ssRNA(+)
Gredihovirus chthonovicinum	E		BK013845	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_12		NULL	1	202111190	bacteria	ssRNA(+)
Gredihovirus chthonovivens	E		BK013895	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_18		NULL	1	202111191	bacteria	ssRNA(+)
Gredihovirus edaphadaptatum	E		BK013386	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.3_8		NULL	1	202111168	bacteria	ssRNA(+)
Gredihovirus edaphenecus	E		BK013808	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_16		NULL	1	202111170	bacteria	ssRNA(+)
Gredihovirus edaphocola	E		BK013973	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_11		NULL	1	202111169	bacteria	ssRNA(+)
Gredihovirus edaphohabitans	E		BK013411	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_19		NULL	1	202111171	bacteria	ssRNA(+)
Gredihovirus edaphovicinum	E		BK013866	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_6		NULL	1	202111172	bacteria	ssRNA(+)
Gredihovirus edaphovivens	E		BK013839	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.4_8		NULL	1	202111173	bacteria	ssRNA(+)
Gredihovirus geoadaptatum	E		BK013397	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_4		NULL	1	202111192	bacteria	ssRNA(+)
Gredihovirus geocola	E		BK013928	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_5		NULL	1	202111193	bacteria	ssRNA(+)
Gredihovirus geoenecus	E		BK013461	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_6		NULL	1	202111194	bacteria	ssRNA(+)
Gredihovirus geohabitans	E		BK013482	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_7		NULL	1	202111195	bacteria	ssRNA(+)
Gredihovirus geovicinum	E		BK013982	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.3_8		NULL	1	202111196	bacteria	ssRNA(+)
Gredihovirus geovivens	E		BK013803	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.4_1		NULL	1	202111197	bacteria	ssRNA(+)
Gredihovirus humadaptatum	E		BK013896	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_21		NULL	1	202111211	bacteria	ssRNA(+)
Gredihovirus humenecus	E		BK014042	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_32		NULL	1	202111213	bacteria	ssRNA(+)
Gredihovirus humicola	E		BK014029	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_30		NULL	1	202111212	bacteria	ssRNA(+)
Gredihovirus humihabitans	E		BK013458	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.1_7		NULL	1	202111214	bacteria	ssRNA(+)
Gredihovirus humivicinum	E		BK013909	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_1		NULL	1	202111215	bacteria	ssRNA(+)
Gredihovirus humivivens	E		BK013976	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Zoerhiza.2_12		NULL	1	202111216	bacteria	ssRNA(+)
Gredihovirus neoagrenecus	E		BK013956	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_5		NULL	1	202111152	bacteria	ssRNA(+)
Gredihovirus neoagricola	E		BK013449	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_3		NULL	1	202111151	bacteria	ssRNA(+)
Gredihovirus neoagrihabitans	E		BK013558	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.4_15		NULL	1	202111153	bacteria	ssRNA(+)
Gredihovirus neoagrivicinum	E		BK013779	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.4_5		NULL	1	202111154	bacteria	ssRNA(+)
Gredihovirus neoagrivivens	E		BK013468	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.4_7		NULL	1	202111155	bacteria	ssRNA(+)
Gredihovirus neochoradaptatum	E		BK013408	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_1		NULL	1	202111156	bacteria	ssRNA(+)
Gredihovirus neochorenecus	E		BK013965	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_18		NULL	1	202111158	bacteria	ssRNA(+)
Gredihovirus neochorocola	E		BK013962	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_15		NULL	1	202111157	bacteria	ssRNA(+)
Gredihovirus neochorohabitans	E		BK013940	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_23		NULL	1	202111159	bacteria	ssRNA(+)
Gredihovirus neochorovicinum	E		BK013991	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_3		NULL	1	202111160	bacteria	ssRNA(+)
Gredihovirus neochorovivens	E		BK013432	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gephyllon.1_6		NULL	1	202111161	bacteria	ssRNA(+)
Gredihovirus neohumadaptatum	E		BK013796	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_41		NULL	1	202111145	bacteria	ssRNA(+)
Gredihovirus neohumenecus	E		BK013930	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_50		NULL	1	202111147	bacteria	ssRNA(+)
Gredihovirus neohumicola	E		BK013813	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_42		NULL	1	202111146	bacteria	ssRNA(+)
Gredihovirus neohumihabitans	E		BK013884	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_8		NULL	1	202111148	bacteria	ssRNA(+)
Gredihovirus neohumivicinum	E		BK013450	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_1		NULL	1	202111149	bacteria	ssRNA(+)
Gredihovirus neohumivivens	E		BK013775	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.3_10		NULL	1	202111150	bacteria	ssRNA(+)
Gredihovirus neotellurenecus	E		BK013560	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.1_6		NULL	1	202111135	bacteria	ssRNA(+)
Gredihovirus neotelluricola	E		BK013383	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.1_11		NULL	1	202111134	bacteria	ssRNA(+)
Gredihovirus neotellurihabitans	E		BK013388	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_1		NULL	1	202111136	bacteria	ssRNA(+)
Gredihovirus neotellurivicinum	E		BK013391	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_10		NULL	1	202111137	bacteria	ssRNA(+)
Gredihovirus neotellurivivens	E		BK013817	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_16		NULL	1	202111138	bacteria	ssRNA(+)
Gredihovirus neoterradaptatum	E		BK014004	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_2		NULL	1	202111139	bacteria	ssRNA(+)
Gredihovirus neoterrenecus	E		BK013814	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_27		NULL	1	202111141	bacteria	ssRNA(+)
Gredihovirus neoterricola	E		BK013974	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_20		NULL	1	202111140	bacteria	ssRNA(+)
Gredihovirus neoterrihabitans	E		BK013794	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_32		NULL	1	202111142	bacteria	ssRNA(+)
Gredihovirus neoterrivicinum	E		BK013828	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_39		NULL	1	202111143	bacteria	ssRNA(+)
Gredihovirus neoterrivivens	E		BK013501	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Esthiorhiza.2_4		NULL	1	202111144	bacteria	ssRNA(+)
Gredihovirus paludicola	E		BK013381	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage ESO002		NULL	1	202111133	bacteria	ssRNA(+)
Gredihovirus pedadaptatum	E		BK013404	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_1		NULL	1	202111174	bacteria	ssRNA(+)
Gredihovirus pedenecus	E		BK013867	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_14		NULL	1	202111176	bacteria	ssRNA(+)
Gredihovirus pedocola	E		BK014005	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_10		NULL	1	202111175	bacteria	ssRNA(+)
Gredihovirus pedohabitans	E		BK013479	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_16		NULL	1	202111177	bacteria	ssRNA(+)
Gredihovirus pedovicinum	E		BK013400	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_36		NULL	1	202111178	bacteria	ssRNA(+)
Gredihovirus pedovivens	E		BK013879	NULL	Complete coding genome	NULL	NULL	NULL	ssRNA phage Gerhypos.1_39		NULL	1	202111179	bacteria	ssRNA(+)
