prev_taxid	new_taxid	proposal	notes	is_merged	is_split	is_moved	is_promoted	is_demoted	is_renamed	is_new	is_deleted	is_now_type	is_lineage_updated	msl
\N	19710128	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710129	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710130	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710131	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710132	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710133	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710134	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710135	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710136	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710137	"ICTV 1st Report.pdf"	" p73"	0	0	0	0	0	0	1	0	0	0	1
\N	19710138	"ICTV 1st Report.pdf"	" p32"	0	0	0	0	0	0	1	0	0	0	1
\N	19710139	"ICTV 1st Report.pdf"	" p32"	0	0	0	0	0	0	1	0	0	0	1
\N	19710140	"ICTV 1st Report.pdf"	" p32"	0	0	0	0	0	0	1	0	0	0	1
\N	19710141	"ICTV 1st Report.pdf"	" p32"	0	0	0	0	0	0	1	0	0	0	1
\N	19710142	"ICTV 1st Report.pdf"	" p65"	0	0	0	0	0	0	1	0	0	0	1
\N	19710143	"ICTV 1st Report.pdf"	" p65"	0	0	0	0	0	0	1	0	0	0	1
\N	19710144	"ICTV 1st Report.pdf"	" p65"	0	0	0	0	0	0	1	0	0	0	1
\N	19710145	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710146	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710147	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710148	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710149	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710150	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710151	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710152	"ICTV 1st Report.pdf"	" p69"	0	0	0	0	0	0	1	0	0	0	1
\N	19710153	"ICTV 1st Report.pdf"	" p37"	0	0	0	0	0	0	1	0	0	0	1
\N	19710154	"ICTV 1st Report.pdf"	" p37"	0	0	0	0	0	0	1	0	0	0	1
\N	19710155	"ICTV 1st Report.pdf"	" p71"	0	0	0	0	0	0	1	0	0	0	1
\N	19710156	"ICTV 1st Report.pdf"	" p71"	0	0	0	0	0	0	1	0	0	0	1
\N	19710157	"ICTV 1st Report.pdf"	" p71"	0	0	0	0	0	0	1	0	0	0	1
\N	19710158	"ICTV 1st Report.pdf"	" p71"	0	0	0	0	0	0	1	0	0	0	1
\N	19710159	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710160	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710161	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710162	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710163	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710164	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710165	"ICTV 1st Report.pdf"	" p48"	0	0	0	0	0	0	1	0	0	0	1
\N	19710166	"ICTV 1st Report.pdf"	" p67"	0	0	0	0	0	0	1	0	0	0	1
\N	19710167	"ICTV 1st Report.pdf"	" p67"	0	0	0	0	0	0	1	0	0	0	1
\N	19710168	"ICTV 1st Report.pdf"	" p67"	0	0	0	0	0	0	1	0	0	0	1
\N	19710169	"ICTV 1st Report.pdf"	" p45"	0	0	0	0	0	0	1	0	0	0	1
\N	19710170	"ICTV 1st Report.pdf"	" p43"	0	0	0	0	0	0	1	0	0	0	1
\N	19710171	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710172	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710173	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710174	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710175	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710176	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710177	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710178	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710179	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710180	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710181	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710182	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710184	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710185	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710186	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710187	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710188	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710189	"ICTV 1st Report.pdf"	" p34"	0	0	0	0	0	0	1	0	0	0	1
\N	19710190	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710191	"ICTV 1st Report.pdf"	" p33"	0	0	0	0	0	0	1	0	0	0	1
\N	19710192	"ICTV 1st Report.pdf"	" p31"	0	0	0	0	0	0	1	0	0	0	1
\N	19710193	"ICTV 1st Report.pdf"	" p31"	0	0	0	0	0	0	1	0	0	0	1
\N	19710194	"ICTV 1st Report.pdf"	" p31"	0	0	0	0	0	0	1	0	0	0	1
\N	19710195	"ICTV 1st Report.pdf"	" p35"	0	0	0	0	0	0	1	0	0	0	1
\N	19710196	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710197	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710198	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710199	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710200	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710201	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710202	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710203	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710204	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710205	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710206	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710207	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710208	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710209	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710210	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710211	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710212	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710213	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710214	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710215	"ICTV 1st Report.pdf"	" p46"	0	0	0	0	0	0	1	0	0	0	1
\N	19710216	"ICTV 1st Report.pdf"	" p40"	0	0	0	0	0	0	1	0	0	0	1
\N	19710217	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710218	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710219	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710220	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710221	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710222	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710223	"ICTV 1st Report.pdf"	" p59"	0	0	0	0	0	0	1	0	0	0	1
\N	19710224	"ICTV 1st Report.pdf"	" p49"	0	0	0	0	0	0	1	0	0	0	1
\N	19710225	"ICTV 1st Report.pdf"	" p49"	0	0	0	0	0	0	1	0	0	0	1
\N	19710226	"ICTV 1st Report.pdf"	" p49"	0	0	0	0	0	0	1	0	0	0	1
\N	19710227	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710228	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710229	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710230	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710231	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710232	"ICTV 1st Report.pdf"	" p47"	0	0	0	0	0	0	1	0	0	0	1
\N	19710233	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710234	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710235	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710236	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710237	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710238	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710239	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710240	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710241	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710242	"ICTV 1st Report.pdf"	" p41"	0	0	0	0	0	0	1	0	0	0	1
\N	19710243	"ICTV 1st Report.pdf"	" p64"	0	0	0	0	0	0	1	0	0	0	1
\N	19710244	"ICTV 1st Report.pdf"	" p42"	0	0	0	0	0	0	1	0	0	0	1
\N	19710245	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710246	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710247	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710248	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710249	"ICTV 1st Report.pdf"	" p70"	0	0	0	0	0	0	1	0	0	0	1
\N	19710250	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710251	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710252	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710253	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710254	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
\N	19710255	"ICTV 1st Report.pdf"	" p68"	0	0	0	0	0	0	1	0	0	0	1
